combination,loss,epoch,training_encoder_time
"[16, 6, 32, [8, 4], 'sigmoid', 0.9, 0.9, 0.9]",1.211895628,169,379
"[16, 6, 32, [16, 8], 'tanh', 0.95, 0.9, 0.95]",0.695596459,257,593
"[16, 6, 32, [16, 8], 'tanh', 0.95, 0.9, 0.9]",0.721883545,151,348
"[16, 6, 32, [16, 8], 'tanh', 0.9, 0.9, 0.95]",0.413562087,1000,2326
"[16, 6, 32, [16, 8], 'tanh', 0.9, 0.9, 0.9]",0.705544724,347,803
"[16, 6, 32, [16, 8], 'sigmoid', 0.95, 0.9, 0.95]",0.321391286,1000,2320
"[16, 6, 32, [16, 8], 'sigmoid', 0.95, 0.9, 0.9]",0.353909595,1000,2307
"[16, 6, 32, [16, 8], 'sigmoid', 0.9, 0.9, 0.95]",0.534233593,324,754
"[16, 6, 32, [16, 8], 'sigmoid', 0.9, 0.9, 0.9]",0.678493764,950,2183
"[22, 2, 16, [16], 'tanh', 0.95, 0.9, 0.95]",0.577190886,1000,4713
"[22, 2, 16, [16], 'tanh', 0.95, 0.9, 0.9]",0.506893783,1000,3227
"[22, 2, 16, [16], 'tanh', 0.9, 0.9, 0.95]",2.528601024,610,1998
"[22, 2, 16, [16], 'tanh', 0.9, 0.9, 0.9]",1.339850975,432,1413
"[22, 2, 16, [16], 'sigmoid', 0.95, 0.9, 0.95]",0.356730518,316,1045
"[22, 2, 16, [16], 'sigmoid', 0.95, 0.9, 0.9]",0.943638354,1000,3293
"[22, 2, 16, [16], 'sigmoid', 0.9, 0.9, 0.95]",0.873716785,940,3086
"[22, 2, 16, [16], 'sigmoid', 0.9, 0.9, 0.9]",1.159145166,316,1038
"[22, 2, 16, [32], 'tanh', 0.95, 0.9, 0.95]",0.377488739,1000,3467
"[22, 2, 16, [32], 'tanh', 0.95, 0.9, 0.9]",0.847202703,723,2499
"[22, 2, 16, [32], 'tanh', 0.9, 0.9, 0.95]",0.734626512,1000,-82888
"[22, 2, 16, [32], 'tanh', 0.9, 0.9, 0.9]",1.265968517,1000,3472
"[22, 2, 16, [32], 'sigmoid', 0.95, 0.9, 0.95]",0.609381006,353,1229
"[22, 2, 16, [32], 'sigmoid', 0.95, 0.9, 0.9]",0.543321176,1000,3431
"[22, 2, 16, [32], 'sigmoid', 0.9, 0.9, 0.95]",1.182976818,661,2284
"[22, 2, 16, [32], 'sigmoid', 0.9, 0.9, 0.9]",0.919163929,1000,3457
"[22, 2, 16, [8, 4], 'tanh', 0.95, 0.9, 0.95]",0.719841929,93,516
"[22, 2, 16, [8, 4], 'tanh', 0.95, 0.9, 0.9]",0.880419573,66,362
